הוא צפה בסרט וראה חיה שצפה במים	hˈu tsafˈa baseʁˈet veʁaʔˈa χajˈa ʃetsafˈa bmajˈim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈu ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈal hˈi ʁatsˈa mahˈeʁ vehikdimˈa ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	bˈa teʁˈed leʔeχˈol, jˈeʃ bˈuʁks ʔˈim teʁˈed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχaʁˈej ʃeʔatˈa ʔoʁˈez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔoʁˈez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈim mutˈaʁ liʃtˈot biʁˈa baʔˈiʁ habiʁˈa jʁuʃalajˈim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈa haʁbˈe mʔˈod ʃanˈim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈa ʔamʁˈa lˈi ʃehˈu ɡilˈa lˈa ʔˈet hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa liʁʔˈot ʔˈet haʔedˈeʁ mukdˈam mʔˈod babokˈeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lanˈu baʃetˈaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babajˈit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsaʔˈad lʔevˈeʁ haʔofˈek, uvχˈal tsaʔˈad hiʁɡˈiʃ ʔˈet kovˈed hadeʁˈeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	teleɡʁˈam zˈo ʔaplikatsjˈa mamˈaʃ noχˈa lʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi bvatsˈap?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	maʔaʁˈaχ hasajbˈeʁ halʔumˈi hˈu ɡˈuf teχnoloɡˈi bjisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	bχˈal kˈos ʃˈel kolˈa jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔilˈon masˈak hˈu haʔˈiʃ haχˈi ʔaʃˈiʁ baʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bistaʁtaʔˈap ʃelanˈu jˈeʃ dajalˈi kˈal jˈom ʃenˈi vaχamiʃˈi
