הוא צפה בסרט וראה חיה שצפה במים	hu tsfh vsrt vrʔh χih ʃtsfh vmim 
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hu rtsa ʔt zh ɡm ʔvl hi rtsa mhr vhkdimh ʔotv 
בא תרד לאכול, יש בורקס עם תרד	vʔ trd leʔeχol jʃ vvrks im trd 
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔχri ʃʔta ʔvrz ʔt hmzvvda tvvʔ leʔeχol ʔvrz 
האם מותר לשתות בירה בעיר הבירה ירושלים?	hʔm motr liʃtot vjra vʔir hvjra jrvʃlim 
החיה הזו חיה הרבה מאוד שנים.	hχih hzv χih hrvh mʔvd ʃanim 
גילה אמרה לי שהוא גילה לה את הסוד.	ɡila ʔmra li ʃhvʔ ɡila lah ʔt hsvd 
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	hvvkr jtsʔ lrʔot ʔt hʔdr mvkdm mʔvd vvvkr 
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hem lnv vʃtχ χi lo nʃʔr lnv mkom vvit 
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hu tsʔd lʔvr hʔvfk vvχl tsʔd hrɡiʃ ʔt χvvd hdrχ 
טלגרם זו אפליקציה ממש נוחה לשימוש.	tlɡrm zv ʔfliktsih mmʃ nvχa lʃjmvʃ 
תוכל לכתוב לי בוואצאפ?	tvχl liχtov li vvvʔtsʔf 
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	mʔrχ hsijvr hlʔvmi hu ɡvf tχnvlvɡi vjʃrʔl 
בכל כוס של קולה יש המון סוכר.	vχl χvs ʃl kola jʃ hmvnə svχr 
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔilvnə mʔsk hu hʔiʃ hχi ʔʃjr vʔvlm 
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	vstʔrtʔf ʃlnv jʃ dijli χl jom ʃni vχmiʃj 
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃlχti lχ link χadaʃ ltikt ʃftχti vɡihtʔv 
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	ʃmti flijlist χadaʃ vsfvtifij vʃitfti ʔotv vʔinstɡrm 
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	vvʔ nʃm ʔt zh vkovts duks vnʃtf ʔt htsvot 
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔnχnv rvtsim lʔlot lfrvdkʃnə ʔχri ʃnkvl od ktst ʔinfvt 
