Sentence	Phonemes	Field: (Stress-Advanced/Stress-Medium/Gender/Foreign/Names/Special-Phoneme-Grapheme/Normal)
הוא צפה בסרט וראה חיה שצפה במים	hˈu tsafˈa besˈeʁet veʁaʔˈa χajˈa ʃetsˈafa bamˈajim	Stress-Advanced
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈu ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈal hˈi ʁˈatsa mahˈeʁ vehikdˈima ʔotˈo	Stress-Advanced
בא תרד לאכול, יש בורקס עם תרד	bˈo teʁˈed leʔeχˈol, jˈeʃ buʁˈekas ʔˈim tˈeʁed	Stress-Advanced
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχʁˈej ʃeʔatˈa ʔoʁˈez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔˈoʁez	Stress-Advanced
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈim mutˈaʁ liʃtˈot bˈiʁa beʔˈiʁ habiʁˈa jeʁuʃalˈajim?	Stress-Advanced
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χˈaja haʁbˈe meʔˈod ʃanˈim.	Stress-Advanced
גילה אמרה לי שהוא גילה לה את הסוד.	ɡˈila ʔamʁˈa lˈi ʃehˈu ɡilˈa lˈa ʔˈet hasˈod.	Stress-Advanced
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa liʁʔˈot ʔˈet haʔˈedeʁ mukdˈam meʔˈod babˈokeʁ.	Stress-Advanced
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lˈanu baʃˈetaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babˈajit.	Stress-Advanced
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsaʔˈad leʔˈeveʁ haʔˈofek, vebeχˈol tsˈaʔad hiʁɡˈiʃ ʔˈet kˈoved hadˈeʁeχ.	Stress-Advanced
טלגרם זו אפליקציה ממש נוחה לשימוש.	tˈeleɡʁam zˈo ʔaplˈikˈatsja mamˈaʃ noχˈa leʃimˈuʃ.	Foreign
תוכל לכתוב לי בוואצאפ?	toχˈal liχtˈov lˈi bawˈatsʔap?	Foreign
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	maʔˈaʁaχ hasˈajbeʁ haleʔumˈi hˈu ɡˈuf teχnolˈoɡi bejisʁaʔˈel.	Foreign
בכל כוס של קולה יש המון סוכר.	bekˈol kˈos ʃˈel kˈola jˈeʃ hamˈon sukˈaʁ.	Foreign
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔˈelon mˈask hˈu haʔˈiʃ haχˈi ʔaʃˈiʁ baʔolˈam.	Foreign
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bastˈaʁtʔap ʃelˈanu jˈeʃ dˈejli kˈol jˈom ʃenˈi veχamiʃˈi	Foreign
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalˈaχti leχˈa lˈink χadˈaʃ latˈiket ʃepatˈaχti beɡˈitab	Foreign
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	sˈamti plˈejlist χadˈaʃ baspˈotifaj veʃitˈafti ʔotˈo baʔˈinsteɡʁam	Foreign
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo nasˈim ʔˈet zˈe bekˈovets dˈoks veneʃatˈef ʔˈet hatsˈevet	Foreign
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanˈaχnu ʁotsˈim laʔalˈot lepʁodˈakʃen ʔaχʁˈej ʃenekabˈel ʔˈod ktsˈat ʔˈinput	Foreign
אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ʔanˈi beʔemˈet doʔˈeɡ lˈaχ vetamˈid kˈan biʃvilˈeχ ʔˈim titstaʁχˈi ʔezʁˈa.	Gender
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה 	ʔanˈi samˈeaχ biʃvilχˈa vemekavˈe biʃvilχˈa ʃekˈol mˈa ʃetiʁtsˈe jikʁˈe	Gender
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ʔanˈi bˈa ʔelˈeχa ʔaχˈaʁ kˈaχ veniʃʔˈaʁ ʔetsleχˈa ktsˈat ʔˈim matʔˈim. mˈa ʔatˈa ʔomˈeʁ?	Gender
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן 	ʔanˈi lomˈed mimχˈa hamˈon vemaʔaʁˈiχ mimχˈa kˈol davˈaʁ katˈan ʃeʔatˈa notˈen 	Gender
אני שמח בשבילך ומודה לך על כל מה שאתה עושה 	ʔanˈi samˈeaχ biʃvilχˈa vemodˈe leχˈa ʔˈal kˈol mˈa ʃeʔatˈa ʔosˈe 	Gender
אני לומד ממך המון, אתה בן אדם חכם	ʔanˈi lomˈed mimχˈa hamˈon, ʔatˈa bˈen ʔadˈam χaχˈam	Gender
אני שמח בשבילך, אחי	ʔanˈi samˈeaχ biʃvilχˈa, ʔaχˈi	Gender
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ʔanˈi metaχnˈen lavˈo ʔelˈajiχ maχˈaʁ veʁatsˈiti ladˈaʔat ʔˈim zˈe matʔˈim lˈaχ	Gender
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ʔanˈi ʔomˈed letsidχˈa veʁotsˈe liʃmˈoa mimχˈa ʃeʔatˈa lˈo levˈad bezˈe	Gender
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ʔanˈi ʔomˈed letsidˈeχ veʁotsˈe liʃmˈoa mimˈeχ ʃeʔˈat lˈo levˈad bezˈe	Gender
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔoʁˈija ʔamʁˈa lˈi ʃehˈi ʔohˈevet letajˈel batˈeva.	Names
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tahˈel ʔamʁˈa ʃehˈi menasˈa laʔasˈot jotˈeʁ hafsakˈot bemahalˈaχ hajˈom	Names
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	ʁenanˈa sipʁˈa ʃehˈi metaχnˈenet tijˈul ʔaʁˈoχ ʔaχʁˈej halimudˈim	Names
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔeliʁˈaz ʔamˈaʁ ʃehˈu menasˈe limtsˈo ktsˈat jotˈeʁ ʔizˈun baχajˈim	Names
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	janˈaj katˈav ʃehˈu ʁotsˈe lehatχˈil mˈaʃehu χadˈaʃ haʃanˈa	Names
