הוא צפה בסרט וראה חיה שצפה במים	hˈu tsˈafa besˈeʁet veʁaʔˈa χajˈe ʃetsˈafa bamˈajim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈi ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈel hˈi ʁatsˈa mehˈaʁ vehikdˈima ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	vˈa teʁˈed leʔeχˈol, jˈeʃ buʁˈekas ʔˈam teʁˈed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχaʁˈaj ʃeʔatˈa ʔˈoʁez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔˈoʁez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈem mutˈaʁ liʃtˈot biʁˈa beʔˈiʁ habiʁˈa jeʁuʃalajˈim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈe haʁbˈe meʔˈod ʃnˈajim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈo ʔamʁˈa lˈi ʃehˈu ɡilˈo lˈe ʔˈat hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa laʁeʔˈut ʔˈat haʔˈedeʁ mukdˈam meʔˈod bevˈokeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lanˈu baʃˈetaχ, kˈi lˈo niʃʔˈaʁ lanˈu makˈom babajˈit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsˈaʔad leʔˈeveʁ haʔˈofek, uvχˈol tsaʔˈad hiʁɡˈiʃ ʔˈat kˈoved hadaʁˈeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	teleɡʁˈam zˈo ʔaplikˈatsja mamˈaʃ nˈoχa leʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi beovʔtsʔˈif?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	meʔˈeʁeχ hasajbˈeʁ haleʔumˈi hˈu ɡˈuf teχnolˈoɡi bejisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	vakˈol kˈos ʃˈel kolˈa jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔajalˈon masˈek hˈi haʔˈiʃ haχˈi ʔaʃˈiʁ beʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bastaʔaaʁatʔif ʃelˈanu jˈeʃ dejlˈi χˈl jˈum ʃnˈej vaχamiʃˈi
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalˈaχti leχˈa linˈok χadˈeʃ lˈatiktˈ ʃepatˈaχti beɡihtˈʔbe
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	sˈamti plajlˈist χadˈeʃ bespuatjpij veʃitˈafti ʔotˈo beʔinstaɡʁˈam
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo naʃˈim ʔˈat zˈe bekˈovets doas unʃatˈef ʔˈat hatsˈevet
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanˈaχnu ʁotsˈim laʔalˈot lifʁˈvedkˈʃn ʔaχaʁˈaj ʃenkabˈel ʔˈod ktsˈat ʔinpot
