הוא צפה בסרט וראה חיה שצפה במים	hˈu tsafˈa besˈeʁet veʁaʔˈa χajˈa ʃetsˈafa bamˈajim
הוא רצה את זה גם, אבל היא רצה מהר והקדימה אותו	hˈu ʁatsˈa ʔˈet zˈe ɡˈam, ʔavˈal hˈi ʁˈatsa mahˈeʁ vehikdˈima ʔotˈo
בא תרד לאכול, יש בורקס עם תרד	bˈa teʁˈed leʔeχˈol, jˈeʃ buʁˈekas ʔˈim tˈeʁed
אחרי שאתה אורז את המזוודה, תבוא לאכול אורז	ʔaχʁˈej ʃeʔatˈa ʔˈoʁez ʔˈet hamizvadˈa, tavˈo leʔeχˈol ʔˈoʁez
האם מותר לשתות בירה בעיר הבירה ירושלים?	haʔˈim mutˈaʁ liʃtˈot bˈiʁa beʔˈiʁ habˈiʁa jeʁuʃalˈajim?
החיה הזו חיה הרבה מאוד שנים.	haχajˈa hazˈo χajˈa haʁbˈe meʔˈod ʃanˈim.
גילה אמרה לי שהוא גילה לה את הסוד.	ɡilˈa ʔamʁˈa lˈi ʃehˈu ɡilˈa lˈa ʔˈet hasˈod.
הבוקר יצא לרעות את העדר מוקדם מאוד בבוקר.	habokˈeʁ jatsˈa liʁʔˈot ʔˈet haʔˈedeʁ mukdˈam meʔˈod babˈokeʁ.
הם לנו בשטח, כי לא נשאר לנו מקום בבית.	hˈem lˈanu baʃˈetaχ, kˈi lˈo niʃˈʔaʁ lˈanu makˈom babˈajit.
הוא צעד לעבר האופק, ובכל צעד הרגיש את כובד הדרך.	hˈu tsaʔˈad leʔˈeveʁ haʔˈofek, uvχˈol tsˈaʔad hiʁɡˈiʃ ʔˈet kˈoved hadˈeʁeχ.
טלגרם זו אפליקציה ממש נוחה לשימוש.	tˈeleɡʁam zˈo ʔaplikˈatsja mamˈaʃ noχˈa leʃimˈuʃ.
תוכל לכתוב לי בוואצאפ?	tuχˈal liχtˈov lˈi bawˈatsap?
מערך הסייבר הלאומי הוא גוף טכנולוגי בישראל.	maʔaʁˈaχ hasˈajbeʁ haleʔumˈi hˈu ɡˈuf teχnolˈoɡi bejisʁaʔˈel.
בכל כוס של קולה יש המון סוכר.	beχˈol kˈos ʃˈel kˈola jˈeʃ hamˈon sukˈaʁ.
אילון מאסק הוא האיש הכי עשיר בעולם.	ʔilˈon mˈask hˈu haʔˈiʃ haχˈi ʔaʃˈiʁ baʔolˈam.
בסטארטאפ שלנו יש דיילי כל יום שני וחמישי	bestˈaʁtʔap ʃelˈanu jˈeʃ dˈejli kˈol jˈom ʃenˈi veχamiʃˈi
שלחתי לך לינק חדש לטיקט שפתחתי בגיהטאב	ʃalˈaχti leχˈa lˈink χadˈaʃ letˈiket ʃepatˈaχti beɡˈithab
שמתי פלייליסט חדש בספוטיפיי ושיתפתי אותו באינסטגרם	sˈamti plˈejlist χadˈaʃ bespˈotifaj veʃitˈafti ʔotˈo beʔˈinstaɡʁam
בוא נשים את זה בקובץ דוקס ונשתף את הצוות	bˈo nasˈim ʔˈet zˈe bekˈovets dˈoks veneʃatˈef ʔˈet hatsˈevet
אנחנו רוצים לעלות לפרודקשן אחרי שנקבל עוד קצת אינפוט	ʔanˈaχnu ʁotsˈim laʔalˈot lepʁodˈakʃen ʔaχaʁˈej ʃenekabˈel ʔˈod ktsˈat ʔˈinput
אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ʔanˈi beʔemˈet doʔˈeɡ lˈaχ vetamˈid kˈan biʃvilˈeχ ʔˈim titstaʁχˈi ʔezʁˈa.
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה	ʔanˈi samˈeaχ biʃvilχˈa umekavˈe biʃvilχˈa ʃekˈol mˈa ʃetiʁtsˈe jikʁˈe
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ʔanˈi bˈa ʔelˈeχa ʔaχˈaʁ kˈaχ veniʃʔˈaʁ ʔetslˈeχa ktsˈat ʔˈim matʔˈim. mˈa ʔatˈa ʔomˈeʁ?
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן	ʔanˈi lomˈed mimχˈa hamˈon umaʔaʁˈiχ mimχˈa kˈol davˈaʁ katˈan ʃeʔatˈa notˈen
אני שמח בשבילך ומודה לך על כל מה שאתה עושה	ʔanˈi samˈeaχ biʃvilχˈa vemodˈe leχˈa ʔˈal kˈol mˈa ʃeʔatˈa ʔosˈe
אני לומד ממך המון, אתה בן אדם חכם	ʔanˈi lomˈed mimχˈa hamˈon, ʔatˈa bˈen ʔadˈam χaχˈam
אני שמח בשבילך, אחי	ʔanˈi samˈeaχ biʃvilχˈa, ʔaχˈi
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ʔanˈi metaχnˈen lavˈo ʔelˈajiχ maχˈaʁ veʁatsˈiti ladˈaʔat ʔˈim zˈe matʔˈim lˈaχ
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ʔanˈi ʔomˈed letsidχˈa veʁotsˈe liʃmˈoʔa mimχˈa ʃeʔatˈa lˈo levˈad bezˈe
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ʔanˈi ʔomˈed letsidˈeχ veʁotsˈe liʃmˈoʔa mimˈeχ ʃeʔˈat lˈo levˈad bazˈe
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔoʁijˈa ʔamʁˈa lˈi ʃehˈi ʔohˈevet letajˈel batˈeva.
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tahˈel ʔamʁˈa ʃehˈi menasˈa laʔasˈot jotˈeʁ hafsakˈot bemahalˈaχ hajˈom
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	ʁenanˈa sipʁˈa ʃehˈi metaχnˈenet tijˈul ʔaʁˈoχ ʔaχaʁˈej halimudˈim
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔeliʁˈaz ʔamˈaʁ ʃehˈu menasˈe limtsˈo ktsˈat jotˈeʁ ʔizˈun baχajˈim
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	janˈaj katˈav ʃehˈu ʁotsˈe lehatχˈil mˈaʃehu χadˈaʃ haʃanˈa
אושרה אמרה שהיא מנסה להיות יותר סבלנית עם עצמה	ʔoʃʁˈa ʔamʁˈa ʃehˈi menasˈa lihjˈot jotˈeʁ savlanˈit ʔˈim ʔatsmˈa
שלומי סיפר שהוא התחיל לעבוד על פרויקט חדש והוא מתלהב מזה	ʃlˈomi sipˈeʁ ʃehˈu hitχˈil laʔavˈod ʔˈal pʁojˈekt χadˈaʃ vehˈu mitlahˈev mizˈe
ידידה סיפרה שהיא התחילה ללמוד בטכניון ועברה לגור בחיפה	jedidˈa sipʁˈa ʃehˈi hitχˈila lilmˈod bateχnijˈon veʔavʁˈa laɡˈuʁ beχˈefa
מישהי בעבודה אמרה שהיא שוקלת לעבור לראשון לציון בשביל להיות קרובה למשפחה	mˈiʃehi baʔavodˈa ʔamʁˈa ʃehˈi ʃokˈelet laʔavˈoʁ leʁiʃˈon letsijˈon biʃvˈil lihjˈot kʁovˈa lamiʃpaχˈa
